{'00': 932, '01': 4, '10': 78, '11': 10}
{'00': 932, '01': 4, '10': 80, '11': 8}
{'00': 913, '01': 6, '10': 97, '11': 8}
{'00': 917, '01': 3, '10': 92, '11': 12}
{'00': 939, '01': 1, '10': 77, '11': 7}
{'00': 929, '01': 4, '10': 86, '11': 5}
{'00': 932, '01': 3, '10': 79, '11': 10}
{'00': 934, '01': 5, '10': 80, '11': 5}
{'00': 930, '01': 4, '10': 79, '11': 11}
{'00': 937, '01': 9, '10': 72, '11': 6}
{'00': 931, '01': 4, '10': 84, '11': 5}
{'00': 933, '01': 5, '10': 76, '11': 10}
{'00': 918, '01': 7, '10': 89, '11': 10}
{'00': 905, '01': 5, '10': 109, '11': 5}
{'00': 928, '01': 3, '10': 83, '11': 10}
{'00': 936, '01': 2, '10': 77, '11': 9}
{'00': 911, '01': 7, '10': 97, '11': 9}
{'00': 932, '01': 2, '10': 84, '11': 6}
{'00': 936, '01': 3, '10': 81, '11': 4}
{'00': 949, '01': 6, '10': 65, '11': 4}
{'00': 932, '01': 3, '10': 81, '11': 8}
{'00': 928, '01': 1, '10': 85, '11': 10}
{'00': 934, '01': 2, '10': 86, '11': 2}
{'00': 930, '01': 2, '10': 86, '11': 6}
{'00': 937, '01': 7, '10': 73, '11': 7}
{'00': 949, '01': 4, '10': 63, '11': 8}
{'00': 933, '01': 4, '10': 82, '11': 5}
{'00': 912, '01': 4, '10': 96, '11': 12}
{'00': 931, '10': 87, '11': 6}
{'00': 918, '01': 5, '10': 97, '11': 4}
{'00': 929, '01': 7, '10': 81, '11': 7}
{'00': 925, '01': 3, '10': 88, '11': 8}
{'00': 924, '01': 2, '10': 94, '11': 4}
{'00': 937, '01': 3, '10': 75, '11': 9}
{'00': 924, '01': 4, '10': 89, '11': 7}
{'00': 926, '01': 1, '10': 88, '11': 9}
{'00': 917, '01': 3, '10': 95, '11': 9}
{'00': 922, '01': 7, '10': 85, '11': 10}
{'00': 933, '01': 4, '10': 84, '11': 3}
{'00': 912, '01': 3, '10': 103, '11': 6}
{'00': 913, '01': 2, '10': 100, '11': 9}
{'00': 931, '10': 90, '11': 3}
{'00': 927, '01': 1, '10': 91, '11': 5}
{'00': 935, '01': 2, '10': 81, '11': 6}
{'00': 926, '01': 1, '10': 90, '11': 7}
{'00': 939, '01': 1, '10': 73, '11': 11}
{'00': 918, '01': 9, '10': 91, '11': 6}
{'00': 938, '01': 2, '10': 75, '11': 9}
{'00': 944, '01': 1, '10': 71, '11': 8}
{'00': 932, '01': 2, '10': 84, '11': 6}
{'00': 922, '01': 6, '10': 91, '11': 5}
{'00': 935, '01': 3, '10': 83, '11': 3}
{'00': 926, '01': 3, '10': 82, '11': 13}
{'00': 929, '10': 90, '11': 5}
{'00': 909, '01': 5, '10': 98, '11': 12}
{'00': 911, '01': 2, '10': 104, '11': 7}
{'00': 936, '01': 7, '10': 73, '11': 8}
{'00': 919, '01': 4, '10': 93, '11': 8}
{'00': 944, '01': 1, '10': 76, '11': 3}
{'00': 930, '01': 6, '10': 79, '11': 9}
{'00': 937, '01': 5, '10': 74, '11': 8}
{'00': 932, '01': 7, '10': 77, '11': 8}
{'00': 925, '01': 5, '10': 94}
{'00': 922, '01': 2, '10': 92, '11': 8}
{'00': 930, '01': 4, '10': 84, '11': 6}
{'00': 932, '01': 3, '10': 80, '11': 9}
{'00': 935, '01': 4, '10': 80, '11': 5}
{'00': 939, '10': 75, '11': 10}
{'00': 936, '01': 6, '10': 76, '11': 6}
{'00': 917, '01': 3, '10': 96, '11': 8}
{'00': 926, '01': 2, '10': 88, '11': 8}
{'00': 942, '01': 1, '10': 75, '11': 6}
{'00': 928, '01': 12, '10': 77, '11': 7}
{'00': 922, '01': 5, '10': 93, '11': 4}
{'00': 944, '01': 7, '10': 68, '11': 5}
{'00': 933, '01': 3, '10': 84, '11': 4}
{'00': 920, '01': 7, '10': 89, '11': 8}
{'00': 932, '01': 3, '10': 80, '11': 9}
{'00': 944, '01': 5, '10': 67, '11': 8}
{'00': 928, '01': 5, '10': 79, '11': 12}
{'00': 928, '01': 4, '10': 85, '11': 7}
{'00': 930, '01': 4, '10': 78, '11': 12}
{'00': 935, '01': 2, '10': 83, '11': 4}
{'00': 930, '01': 8, '10': 86}
{'00': 937, '01': 3, '10': 77, '11': 7}
{'00': 927, '01': 4, '10': 87, '11': 6}
{'00': 937, '01': 4, '10': 80, '11': 3}
{'00': 930, '01': 1, '10': 88, '11': 5}
{'00': 925, '01': 7, '10': 89, '11': 3}
{'00': 937, '01': 5, '10': 78, '11': 4}
{'00': 934, '01': 6, '10': 79, '11': 5}
{'00': 935, '01': 4, '10': 82, '11': 3}
{'00': 926, '01': 2, '10': 91, '11': 5}
{'00': 929, '01': 3, '10': 86, '11': 6}
{'00': 932, '01': 7, '10': 77, '11': 8}
{'00': 930, '01': 3, '10': 80, '11': 11}
{'00': 941, '01': 4, '10': 75, '11': 4}
{'00': 922, '01': 4, '10': 87, '11': 11}
{'00': 921, '01': 3, '10': 88, '11': 12}
{'00': 910, '01': 9, '10': 91, '11': 14}
