{'00': 12, '01': 501, '10': 505, '11': 6}
{'00': 9, '01': 523, '10': 487, '11': 5}
{'00': 9, '01': 497, '10': 512, '11': 6}
{'00': 10, '01': 492, '10': 516, '11': 6}
{'00': 11, '01': 507, '10': 495, '11': 11}
{'00': 10, '01': 522, '10': 482, '11': 10}
{'00': 6, '01': 493, '10': 518, '11': 7}
{'00': 11, '01': 482, '10': 517, '11': 14}
{'00': 5, '01': 493, '10': 516, '11': 10}
{'00': 7, '01': 497, '10': 511, '11': 9}
{'00': 6, '01': 515, '10': 496, '11': 7}
{'00': 8, '01': 521, '10': 490, '11': 5}
{'00': 7, '01': 502, '10': 503, '11': 12}
{'00': 6, '01': 513, '10': 498, '11': 7}
{'00': 4, '01': 486, '10': 532, '11': 2}
{'00': 7, '01': 505, '10': 503, '11': 9}
{'00': 13, '01': 524, '10': 481, '11': 6}
{'00': 7, '01': 491, '10': 517, '11': 9}
{'00': 13, '01': 483, '10': 521, '11': 7}
{'00': 10, '01': 485, '10': 522, '11': 7}
{'00': 7, '01': 503, '10': 504, '11': 10}
{'00': 6, '01': 504, '10': 508, '11': 6}
{'00': 6, '01': 531, '10': 477, '11': 10}
{'00': 7, '01': 489, '10': 522, '11': 6}
{'00': 7, '01': 523, '10': 486, '11': 8}
{'00': 6, '01': 520, '10': 488, '11': 10}
{'00': 12, '01': 506, '10': 503, '11': 3}
{'00': 10, '01': 496, '10': 506, '11': 12}
{'00': 8, '01': 495, '10': 512, '11': 9}
{'00': 1, '01': 526, '10': 485, '11': 12}
{'00': 4, '01': 503, '10': 511, '11': 6}
{'00': 9, '01': 480, '10': 528, '11': 7}
{'00': 9, '01': 460, '10': 546, '11': 9}
{'00': 8, '01': 506, '10': 503, '11': 7}
{'00': 6, '01': 510, '10': 501, '11': 7}
{'00': 9, '01': 519, '10': 488, '11': 8}
{'00': 11, '01': 509, '10': 492, '11': 12}
{'00': 2, '01': 500, '10': 508, '11': 14}
{'00': 12, '01': 502, '10': 500, '11': 10}
{'00': 9, '01': 499, '10': 509, '11': 7}
{'00': 9, '01': 492, '10': 517, '11': 6}
{'00': 6, '01': 539, '10': 470, '11': 9}
{'00': 5, '01': 507, '10': 503, '11': 9}
{'00': 11, '01': 498, '10': 505, '11': 10}
{'00': 9, '01': 505, '10': 503, '11': 7}
{'00': 8, '01': 516, '10': 491, '11': 9}
{'00': 7, '01': 508, '10': 502, '11': 7}
{'00': 10, '01': 487, '10': 517, '11': 10}
{'00': 10, '01': 504, '10': 502, '11': 8}
{'00': 9, '01': 494, '10': 510, '11': 11}
{'00': 4, '01': 485, '10': 523, '11': 12}
{'00': 11, '01': 531, '10': 473, '11': 9}
{'00': 8, '01': 505, '10': 501, '11': 10}
{'00': 9, '01': 470, '10': 538, '11': 7}
{'00': 11, '01': 512, '10': 498, '11': 3}
{'00': 9, '01': 471, '10': 535, '11': 9}
{'00': 12, '01': 488, '10': 516, '11': 8}
{'00': 10, '01': 491, '10': 517, '11': 6}
{'00': 11, '01': 485, '10': 519, '11': 9}
{'00': 6, '01': 518, '10': 489, '11': 11}
{'00': 13, '01': 488, '10': 516, '11': 7}
{'00': 8, '01': 500, '10': 507, '11': 9}
{'00': 6, '01': 495, '10': 519, '11': 4}
{'00': 7, '01': 506, '10': 505, '11': 6}
{'00': 4, '01': 504, '10': 511, '11': 5}
{'00': 9, '01': 516, '10': 487, '11': 12}
{'00': 13, '01': 502, '10': 498, '11': 11}
{'00': 8, '01': 493, '10': 517, '11': 6}
{'00': 8, '01': 517, '10': 491, '11': 8}
{'00': 8, '01': 506, '10': 501, '11': 9}
{'00': 8, '01': 485, '10': 523, '11': 8}
{'00': 7, '01': 521, '10': 484, '11': 12}
{'00': 10, '01': 485, '10': 522, '11': 7}
{'00': 3, '01': 497, '10': 513, '11': 11}
{'00': 14, '01': 517, '10': 486, '11': 7}
{'00': 10, '01': 510, '10': 492, '11': 12}
{'00': 8, '01': 524, '10': 486, '11': 6}
{'00': 11, '01': 497, '10': 506, '11': 10}
{'00': 9, '01': 523, '10': 484, '11': 8}
{'00': 4, '01': 525, '10': 487, '11': 8}
{'00': 5, '01': 502, '10': 509, '11': 8}
{'00': 13, '01': 483, '10': 521, '11': 7}
{'00': 8, '01': 498, '10': 513, '11': 5}
{'00': 6, '01': 507, '10': 500, '11': 11}
{'00': 9, '01': 523, '10': 485, '11': 7}
{'00': 7, '01': 497, '10': 510, '11': 10}
{'00': 8, '01': 517, '10': 490, '11': 9}
{'00': 7, '01': 512, '10': 492, '11': 13}
{'00': 5, '01': 525, '10': 485, '11': 9}
{'00': 10, '01': 487, '10': 520, '11': 7}
{'00': 13, '01': 509, '10': 496, '11': 6}
{'00': 9, '01': 467, '10': 541, '11': 7}
{'00': 7, '01': 504, '10': 500, '11': 13}
{'00': 11, '01': 480, '10': 524, '11': 9}
{'00': 6, '01': 489, '10': 523, '11': 6}
{'00': 5, '01': 485, '10': 528, '11': 6}
{'00': 10, '01': 526, '10': 477, '11': 11}
{'00': 10, '01': 516, '10': 488, '11': 10}
{'00': 9, '01': 523, '10': 489, '11': 3}
{'00': 9, '01': 499, '10': 506, '11': 10}
