{'00': 2, '01': 28, '10': 21, '11': 973}
{'00': 2, '01': 34, '10': 27, '11': 961}
{'00': 1, '01': 21, '10': 9, '11': 993}
{'01': 24, '10': 16, '11': 984}
{'00': 5, '01': 29, '10': 12, '11': 978}
{'00': 2, '01': 24, '10': 12, '11': 986}
{'00': 4, '01': 28, '10': 21, '11': 971}
{'00': 3, '01': 24, '10': 14, '11': 983}
{'00': 3, '01': 24, '10': 16, '11': 981}
{'00': 2, '01': 28, '10': 11, '11': 983}
{'00': 3, '01': 28, '10': 21, '11': 972}
{'00': 2, '01': 31, '10': 16, '11': 975}
{'00': 5, '01': 33, '10': 11, '11': 975}
{'01': 32, '10': 16, '11': 976}
{'00': 2, '01': 22, '10': 20, '11': 980}
{'00': 3, '01': 23, '10': 10, '11': 988}
{'00': 4, '01': 26, '10': 13, '11': 981}
{'00': 1, '01': 30, '10': 18, '11': 975}
{'00': 2, '01': 25, '10': 11, '11': 986}
{'00': 3, '01': 27, '10': 18, '11': 976}
{'00': 3, '01': 22, '10': 9, '11': 990}
{'01': 26, '10': 10, '11': 988}
{'00': 3, '01': 31, '10': 16, '11': 974}
{'00': 1, '01': 37, '10': 12, '11': 974}
{'00': 4, '01': 30, '10': 15, '11': 975}
{'01': 24, '10': 8, '11': 992}
{'00': 1, '01': 37, '10': 17, '11': 969}
{'00': 4, '01': 20, '10': 25, '11': 975}
{'01': 30, '10': 14, '11': 980}
{'00': 4, '01': 26, '10': 14, '11': 980}
{'00': 3, '01': 25, '10': 19, '11': 977}
{'00': 6, '01': 30, '10': 17, '11': 971}
{'00': 3, '01': 21, '10': 20, '11': 980}
{'00': 2, '01': 29, '10': 20, '11': 973}
{'00': 2, '01': 25, '10': 14, '11': 983}
{'00': 3, '01': 22, '10': 13, '11': 986}
{'00': 1, '01': 23, '10': 12, '11': 988}
{'00': 4, '01': 28, '10': 16, '11': 976}
{'00': 2, '01': 20, '10': 11, '11': 991}
{'00': 3, '01': 26, '10': 15, '11': 980}
{'00': 1, '01': 27, '10': 18, '11': 978}
{'00': 5, '01': 23, '10': 13, '11': 983}
{'00': 4, '01': 22, '10': 16, '11': 982}
{'00': 4, '01': 24, '10': 11, '11': 985}
{'00': 1, '01': 24, '10': 18, '11': 981}
{'00': 4, '01': 27, '10': 19, '11': 974}
{'01': 26, '10': 13, '11': 985}
{'00': 3, '01': 25, '10': 6, '11': 990}
{'00': 2, '01': 35, '10': 8, '11': 979}
{'01': 24, '10': 13, '11': 987}
{'00': 2, '01': 28, '10': 10, '11': 984}
{'00': 3, '01': 24, '10': 13, '11': 984}
{'00': 2, '01': 31, '10': 17, '11': 974}
{'00': 6, '01': 36, '10': 17, '11': 965}
{'00': 2, '01': 19, '10': 15, '11': 988}
{'00': 3, '01': 31, '10': 15, '11': 975}
{'00': 2, '01': 26, '10': 14, '11': 982}
{'00': 3, '01': 31, '10': 18, '11': 972}
{'00': 2, '01': 34, '10': 12, '11': 976}
{'00': 1, '01': 31, '10': 14, '11': 978}
{'00': 2, '01': 28, '10': 15, '11': 979}
{'00': 1, '01': 20, '10': 6, '11': 997}
{'00': 1, '01': 23, '10': 9, '11': 991}
{'00': 4, '01': 16, '10': 13, '11': 991}
{'00': 6, '01': 19, '10': 17, '11': 982}
{'00': 1, '01': 24, '10': 12, '11': 987}
{'00': 4, '01': 31, '10': 11, '11': 978}
{'00': 3, '01': 31, '10': 14, '11': 976}
{'00': 3, '01': 20, '10': 20, '11': 981}
{'00': 3, '01': 22, '10': 17, '11': 982}
{'00': 4, '01': 28, '10': 19, '11': 973}
{'00': 2, '01': 25, '10': 10, '11': 987}
{'00': 1, '01': 33, '10': 11, '11': 979}
{'00': 2, '01': 23, '10': 18, '11': 981}
{'00': 2, '01': 25, '10': 21, '11': 976}
{'00': 3, '01': 19, '10': 13, '11': 989}
{'00': 2, '01': 18, '10': 14, '11': 990}
{'00': 4, '01': 18, '10': 15, '11': 987}
{'00': 5, '01': 14, '10': 18, '11': 987}
{'00': 2, '01': 25, '10': 13, '11': 984}
{'00': 5, '01': 26, '10': 11, '11': 982}
{'00': 4, '01': 21, '10': 17, '11': 982}
{'00': 2, '01': 27, '10': 17, '11': 978}
{'00': 2, '01': 20, '10': 10, '11': 992}
{'00': 1, '01': 19, '10': 17, '11': 987}
{'01': 20, '10': 17, '11': 987}
{'00': 2, '01': 30, '10': 27, '11': 965}
{'00': 2, '01': 20, '10': 16, '11': 986}
{'01': 27, '10': 10, '11': 987}
{'00': 5, '01': 30, '10': 16, '11': 973}
{'00': 3, '01': 31, '10': 17, '11': 973}
{'00': 4, '01': 31, '10': 19, '11': 970}
{'00': 1, '01': 26, '10': 13, '11': 984}
{'00': 1, '01': 35, '10': 15, '11': 973}
{'00': 1, '01': 29, '10': 13, '11': 981}
{'00': 2, '01': 17, '10': 21, '11': 984}
{'00': 1, '01': 15, '10': 9, '11': 999}
{'00': 2, '01': 24, '10': 7, '11': 991}
{'00': 1, '01': 20, '10': 13, '11': 990}
{'00': 2, '01': 28, '10': 18, '11': 976}
